Time, Normalized-Temperature
0.831788515085589, 0.9603443563207922
0.9169620376934171, 0.9303798452885454
0.9917266482814409, 0.948744330542957
1.076971282158405, 0.9321131824737392
1.1569092375760839, 0.9204798232884965
1.2315227367171928, 0.910510912246472
1.3111584692410432, 0.8422107604683569
1.3964031031180069, 0.825579612399139
1.465292145093656, 0.7422749828332955
1.5449278776175062, 0.6739748310551804
1.624945833212963, 0.6773415052033451
1.7048837886306414, 0.6657081460181025
1.7845550767890597, 0.6040746757215019
1.8696574881277517, 0.5607768017262262
1.9441643203651564, 0.5308078462396587
2.0346800770668385, 0.502512227804951
2.109124686943749, 0.4608765797257329
2.1889737532750075, 0.4325765168367044
2.2634805855124123, 0.40260756135013653
2.343374096386881, 0.3826408503130009
2.423196495992214, 0.34934077631283644
2.5084944633210298, 0.3427096504658902
2.588236862748584, 0.29440954313231826
2.6630370289711762, 0.31944070986824435
2.748112773583942, 0.27114282476183305
2.8281396180880405, 0.27617616928037636
2.89733977186616, 0.2512050026777839
2.9932688739308317, 0.23791163980364416
3.0731179402620894, 0.20961157691461552
3.153180340400757, 0.22131160291467333
3.233082740183867, 0.2030115622479164
3.313109584687966, 0.2080449067664596
3.3928697619328054, 0.16307814017364497
3.473021051157892, 0.19144486987748888
3.5582390183089294, 0.16981371069713502
3.6328525174500395, 0.15984479965511056
3.712808250685002, 0.1515447812106251
3.7980795512878927, 0.13991364425254293
3.8780530623401384, 0.13494696654881477
3.9421509825577394, 0.15330700734890534
0.7506683348185221, 0.7503105562456809
